PartNumber: 798   x_left_coord: 9, x_right_coord: 12, y_coord: 0
PartNumber: 145   x_left_coord: 15, x_right_coord: 18, y_coord: 0
PartNumber: 629   x_left_coord: 27, x_right_coord: 30, y_coord: 0
PartNumber: 579   x_left_coord: 34, x_right_coord: 37, y_coord: 0
PartNumber: 455   x_left_coord: 42, x_right_coord: 45, y_coord: 0
PartNumber: 130   x_left_coord: 66, x_right_coord: 69, y_coord: 0
PartNumber: 243   x_left_coord: 82, x_right_coord: 85, y_coord: 0
PartNumber: 154   x_left_coord: 102, x_right_coord: 105, y_coord: 0
PartNumber: 167   x_left_coord: 113, x_right_coord: 116, y_coord: 0
PartNumber: 179   x_left_coord: 38, x_right_coord: 41, y_coord: 1
PartNumber: 737   x_left_coord: 51, x_right_coord: 54, y_coord: 1
PartNumber: 194   x_left_coord: 57, x_right_coord: 60, y_coord: 1
PartNumber: 854   x_left_coord: 70, x_right_coord: 73, y_coord: 1
PartNumber: 52   x_left_coord: 94, x_right_coord: 96, y_coord: 1
PartNumber: 560   x_left_coord: 98, x_right_coord: 101, y_coord: 1
PartNumber: 699   x_left_coord: 130, x_right_coord: 133, y_coord: 1
PartNumber: 459   x_left_coord: 8, x_right_coord: 11, y_coord: 2
PartNumber: 489   x_left_coord: 13, x_right_coord: 16, y_coord: 2
PartNumber: 817   x_left_coord: 17, x_right_coord: 20, y_coord: 2
PartNumber: 880   x_left_coord: 28, x_right_coord: 31, y_coord: 2
PartNumber: 996   x_left_coord: 43, x_right_coord: 46, y_coord: 2
PartNumber: 36   x_left_coord: 134, x_right_coord: 136, y_coord: 2
PartNumber: 813   x_left_coord: 37, x_right_coord: 40, y_coord: 3
PartNumber: 234   x_left_coord: 52, x_right_coord: 55, y_coord: 3
PartNumber: 552   x_left_coord: 56, x_right_coord: 59, y_coord: 3
PartNumber: 307   x_left_coord: 61, x_right_coord: 64, y_coord: 3
PartNumber: 184   x_left_coord: 68, x_right_coord: 71, y_coord: 3
PartNumber: 370   x_left_coord: 83, x_right_coord: 86, y_coord: 3
PartNumber: 736   x_left_coord: 104, x_right_coord: 107, y_coord: 3
PartNumber: 960   x_left_coord: 112, x_right_coord: 115, y_coord: 3
PartNumber: 631   x_left_coord: 129, x_right_coord: 132, y_coord: 3
PartNumber: 100   x_left_coord: 3, x_right_coord: 6, y_coord: 4
PartNumber: 131   x_left_coord: 41, x_right_coord: 44, y_coord: 4
PartNumber: 435   x_left_coord: 78, x_right_coord: 81, y_coord: 4
PartNumber: 34   x_left_coord: 90, x_right_coord: 92, y_coord: 4
PartNumber: 126   x_left_coord: 12, x_right_coord: 15, y_coord: 5
PartNumber: 214   x_left_coord: 22, x_right_coord: 25, y_coord: 5
PartNumber: 939   x_left_coord: 62, x_right_coord: 65, y_coord: 5
PartNumber: 729   x_left_coord: 84, x_right_coord: 87, y_coord: 5
